1	10	128	19007->19029	cast/spell,read a line + branch	;e loop { wait_until { Spell[704].affordable? }; result = cast(704, 'oil painting'); break unless result =~ /Spell Hindrance/ } 
2	6	244	18043->18052	cast/spell,loot/object scan,read a line + branch,stats	;e 40.times { sleep 0.1; break if GameObj.loot.any? { |obj| obj.name =~ /#{Char.name} disk$/ } }; unless GameObj.loot.any? { |obj| obj.name =~ /#{Char.name} disk$/ }; disk = Spell[511]; wait_until { disk.affordable? }; disk.cast; end; move 'up'
3	6	765	11630->11617	npc/escort,read a line + branch	;e if ((bounty? =~ /^You have made contact with the child/)||(Society.task =~ /You have been tasked to find and rescue an official who was captured/)); mynpc = GameObj.npcs.find { |npc| npc.noun =~ /child|official/ }; else; mynpc = nil; end; 50.times { break i
4	5	668	9784->9734	room id loop	;e next_exit = { 9823 => [ 'southeast', 'southwest', 'southwest', 'east', 'southwest', 'southeast', 'south' ], 9818 => [ 'east', 'southwest', 'west', 'west', 'northeast', 'northeast', 'northwest' ], 9808 => [ 'east', 'east', 'east', 'northeast', 'west' ], 9788
5	4	34	18249->18262	delegate	;e Map[18700].wayto['18250'].call;
6	4	137	16124->11620	random exit,checkpaths	;e while checkpaths == ['ne', 'se', 'sw', 'nw']; move ['northwest','southwest'][rand(2)]; end; move 'west' while checkpaths.include?('w')
7	4	94	16124->11653	random exit,checkpaths	;e while checkpaths == ['ne', 'se', 'sw', 'nw']; move ['northeast','southeast'][rand(2)]; end;
8	4	42	30947->30948	room id loop	;e wait_while { Room.current.id == 30947 }
9	3	836	2658->2659	read a line + branch	;e clear put 'look' loop { line = get if line =~ /a flight of (ascending|descending) steps (curving along|leading straight through) the (northern|eastern|southern|western) wall, a flight of (ascending|descending) steps (curving along|leading straight through) 
10	3	873	11630->11612	npc/escort,read a line + branch	;e if ((bounty? =~ /^You have made contact with the child/)||(Society.task =~ /You have been tasked to find and rescue an official who was captured/)); mynpc = GameObj.npcs.find { |npc| npc.noun =~ /child|official/ }; else; mynpc = nil; end; 50.times { break i
11	2	598	34434->34435	inventory/hands,read a line + branch	;e refill_hand = false;key_worn = false; (refill_hand = true;empty_hand) if !checkleft.nil? and !checkright.nil?; key_worn = true if GameObj.inv.find {|obj| obj.name =~ /#{UserVars.key.split(' ').join('.*?')}/}; fput "remove my #{UserVars.key}" if key_worn; fp
12	2	69	10816->10815	room id loop	;e begin fput 'swim north' waitrt? end until Room.current.id == 10815
13	2	293	28885->29773	read a line + branch	;e fput 'speak'; language = /You are currently speaking (.*?)\./.match(get).captures.first until language;; fput('speak wizard') unless language == 'Guildspeak'; fput('unhide') if hidden? or invisible?; move 'say ::portal wizard'; fput('speak ' + language.to_s
14	2	71	27638->27639	uservar list	;e if UserVars.Peregrine; UserVars.Peregrine.each{|c| fput "#{c}" } end
15	2	76	14614->9377	random exit,checkpaths	;e move checkpaths[rand(checkpaths.length)] until checkpaths.include?('out')
16	2	55	4029->4027	room id loop	;e begin move 'north' end until Room.current.id == 4027
17	2	79	27470->1834	uservar list	;e if UserVars.Mularos_Lover; UserVars.Mularos_Lover.each{|c| fput "#{c}" } end
18	2	141	15950->7989	room id loop	;e room = Room.current.id;fput 'go opening'; if ( room == Room.current.id ); fput 'close locker';move 'go opening'; end ; $go2_restart = true
19	2	233	6631->6632	cast/spell,read a line + branch	;e if celerity = Spell[506] and celerity.known? and celerity.affordable? and not celerity.active?; celerity.cast; end; until dothistimeout('search', 3, /anything of interest|concealed door/) =~ /concealed door/ do end; move 'go door'
20	2	198	11357->11355	-	;e save_stance = XMLData.stance_text;fput 'stance offensive' if save_stance != 'offensive';move('climb wall');fput "stance #{save_stance}" if save_stance != XMLData.stance_text;;$go2_restart = true;
